date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-06 01:39,"Dragon's Lair B10",Win,2:51,3948,0,2,Rainbowmon 2,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:42,"Dragon's Lair B10",Win,2:26,4562,0,1,Symbol of Chaos x6,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:45,"Dragon's Lair B10",Win,2:32,4904,0,1,Rune,5*,13005,Violent,44.23,6,Rare,Accuracy 9%,ATK 7%,SPD +5,DEF 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:48,"Dragon's Lair B10",Win,3:10,4754,0,2,Symbol of Chaos x6,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:52,"Dragon's Lair B10",Win,3:15,4007,0,0,Rune,6*,21727,Revenge,52.68,5,Hero,HP +360,,DEF 7%,HP 8%,Accuracy 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:54,"Dragon's Lair B10",Win,2:23,4300,0,1,Rune,5*,7474,Endure,38.50,5,Rare,HP +270,,HP 6%,Resistance 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 01:57,"Dragon's Lair B10",Win,2:36,4155,0,4,Rune,5*,10511,Endure,42.45,4,Hero,HP +270,,CRI Dmg 3%,Resistance 3%,ATK 7%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:00,"Dragon's Lair B10",Win,2:33,4353,0,1,Rune,6*,20486,Endure,53.27,1,Rare,ATK +22,ATK 7%,CRI Rate 5%,HP 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:03,"Dragon's Lair B10",Win,2:30,4512,0,0,Rune Piece x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:06,"Dragon's Lair B10",Win,2:34,4523,0,0,Rune,5*,13314,Focus,49.48,1,Hero,ATK +15,Resistance 3%,CRI Rate 5%,ATK 6%,Accuracy 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:09,"Dragon's Lair B10",Win,2:51,4207,0,1,Rune,5*,13005,Violent,42.35,6,Rare,HP 8%,ATK 4%,CRI Dmg 5%,SPD +4,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:12,"Dragon's Lair B10",Win,2:57,4565,1,0,Rune,5*,14775,Revenge,48.41,4,Hero,ATK 8%,CRI Dmg 4%,DEF +9,Resistance 7%,SPD +5,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:15,"Dragon's Lair B10",Win,2:30,4299,0,0,Rune Piece x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:18,"Dragon's Lair B10",Win,2:42,4244,0,3,Symbol of Transcendence x8,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:21,"Dragon's Lair B10",Win,3:03,4483,0,1,Rune Piece x9,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:25,"Dragon's Lair B10",Win,3:03,4712,0,0,Rune,5*,9927,Guard,40.89,6,Rare,HP 8%,CRI Rate 3%,Resistance 7%,HP +113,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:27,"Dragon's Lair B10",Win,2:27,4921,0,0,Rune,5*,10511,Endure,41.72,4,Hero,CRI Rate 5%,,DEF 4%,ATK +10,HP +296,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:31,"Dragon's Lair B10",Win,2:45,4570,0,2,Symbol of Transcendence x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:34,"Dragon's Lair B10",Win,2:44,4275,1,2,Symbol of Transcendence x8,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:36,"Dragon's Lair B10",Win,2:29,4350,0,0,Rune,5*,17000,Violent,47.96,2,Hero,HP +270,DEF 5%,SPD +3,Resistance 7%,ATK +9,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:39,"Dragon's Lair B10",Win,2:32,5027,0,1,Rune Piece x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:42,"Dragon's Lair B10",Win,2:37,4532,0,0,Rune,5*,12130,Shield,38.17,1,Rare,ATK +15,,Accuracy 5%,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:45,"Dragon's Lair B10",Win,2:43,4763,1,2,Rune Piece x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:49,"Dragon's Lair B10",Win,3:13,4241,0,0,Symbol of Harmony x5,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:51,"Dragon's Lair B10",Win,2:28,4906,1,0,Rune,5*,11095,Guard,42.04,1,Rare,ATK +15,Accuracy 5%,Resistance 3%,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:55,"Dragon's Lair B10",Win,3:16,4244,0,1,Symbol of Chaos x5,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 02:58,"Dragon's Lair B10",Win,3:10,4148,0,2,Symbol of Transcendence x9,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:01,"Dragon's Lair B10",Win,2:46,4886,0,0,Rune,5*,10880,Violent,42.96,5,Rare,HP +270,,Accuracy 7%,HP 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:04,"Dragon's Lair B10",Win,2:41,4989,0,1,Rune,5*,12613,Endure,47.21,4,Hero,DEF 8%,SPD +5,CRI Dmg 3%,HP +206,ATK +15,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:07,"Dragon's Lair B10",Win,2:33,4913,1,4,Rune,5*,14015,Focus,49.39,2,Hero,DEF +15,CRI Dmg 4%,HP 6%,ATK 7%,DEF 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:10,"Dragon's Lair B10",Win,2:47,4468,0,1,Rune,5*,14593,Shield,45.91,2,Hero,ATK +15,,DEF +10,Accuracy 7%,SPD +5,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:13,"Dragon's Lair B10",Win,2:43,4386,0,1,Rune,5*,12130,Shield,38.98,1,Rare,ATK +15,,CRI Dmg 4%,SPD +4,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:16,"Dragon's Lair B10",Win,2:34,4772,0,1,Rune,5*,11095,Guard,41.96,1,Hero,ATK +15,,HP +210,SPD +4,CRI Dmg 3%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:19,"Dragon's Lair B10",Win,2:26,4513,0,0,Rune,5*,15533,Focus,47.10,1,Legendary,ATK +15,,Resistance 7%,ATK 4%,CRI Rate 3%,SPD +3,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 03:22,"Dragon's Lair B10",Win,2:24,4290,0,2,Rune,5*,9576,Shield,40.47,3,Rare,DEF +15,,HP 7%,CRI Dmg 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
