date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-07 10:04,"Dragon's Lair B10",Win,2:37,4890,0,0,Rune,5*,14015,Guard,50.62,2,Hero,HP +270,CRI Dmg 4%,Accuracy 7%,ATK 4%,Resistance 7%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:07,"Dragon's Lair B10",Win,2:38,4672,0,2,Symbol of Harmony x4,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:09,"Dragon's Lair B10",Win,2:32,4260,0,1,Rune,6*,25360,Violent,48.21,2,Rare,ATK +22,,CRI Rate 6%,DEF 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:12,"Dragon's Lair B10",Win,2:36,4708,0,1,Rune,5*,7941,Focus,36.41,6,Rare,DEF 8%,,DEF +11,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:19,"Dragon's Lair B10",Win,2:51,4320,0,0,Rune,5*,9576,Revenge,38.17,3,Rare,DEF +15,,HP 5%,DEF 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:24,"Dragon's Lair B10",Win,2:53,4517,1,1,Rune,6*,18329,Focus,53.33,6,Hero,Resistance 12%,,DEF 8%,ATK +16,SPD +4,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:29,"Dragon's Lair B10",Win,2:41,4504,0,3,Rune Piece x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:32,"Dragon's Lair B10",Win,2:52,4620,0,1,Rune,5*,12240,Violent,42.78,5,Rare,HP +270,ATK +12,HP 5%,CRI Rate 3%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 10:39,"Dragon's Lair B10",Win,2:48,4919,0,0,Rune,5*,8409,Endure,39.96,4,Rare,DEF +15,,SPD +3,ATK 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 11:38,"Dragon's Lair B10",Win,2:34,4460,0,1,Rune,5*,10511,Guard,46.47,4,Hero,ATK 8%,,SPD +5,HP 7%,Accuracy 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 11:41,"Dragon's Lair B10",Win,2:55,4564,0,1,Rainbowmon 3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 11:49,"Dragon's Lair B10",Win,2:51,4323,0,1,Rainbowmon 2,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 11:52,"Dragon's Lair B10",Win,2:54,5096,0,0,Unknown Scroll x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-07 11:55,"Dragon's Lair B10",Win,2:51,4278,0,0,Rune,5*,10944,Revenge,44.04,3,Hero,DEF +15,,DEF 7%,Accuracy 4%,CRI Dmg 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
